incident_count,offense_count,data_year
12968,12968,1995
57718,57718,2008
69103,69103,2011
34189,34189,2003
94249,94249,2013
61489,61489,2010
59526,59526,2009
53460,53460,2006
100492,100492,2016
23148,23148,1994
90009,90009,2014
8626,8626,1992
94582,94582,2015
27447,27447,2001
32989,32989,2002
29859,29859,1997
53836,53836,2005
25874,25874,1999
29568,29568,1998
39390,39390,2004
93686,93686,2012
97128,97128,2017
12605,12605,1996
58702,58702,2007
25654,25654,2000
16124,16124,1993
